# New HSK word list (January 2012) V1.0
# Level 1 to 6 -- 5000 words
# Source : http://cedric.hartland.free.fr
# hsk source list from http://www.davidpetersson.com
# Translations from CEDICT Dictionary (see http://www.mdbg.net)
# Distributed under Creative Commons BY-NC licence
#Level	Identifier	Hanzi	PinYin	Translations
3	313	包	bāo	to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个,隻|只[zhī],
3	314	饱	bǎo	to eat till full, satisfied,
3	315	北方	běi fāng	north, the northern part a country, China north of the Yellow River,
3	316	被	bèi	quilt, by, (indicates passive-voice clauses), (literary) to cover, to meet with,
3	317	鼻子	bí zi	nose, CL:個|个,隻|只[zhī],
3	318	比较	bǐ jiào	to compare, to contrast, comparatively, relatively, quite, comparison,
3	319	比赛	bǐ sài	competition (sports etc), match, CL:場|场,次[cì],
3	320	必须	bì xū	to have to, must, compulsory, necessarily,
3	321	变化	biàn huà	change, variation, to change, to vary, CL:個|个[gè],
3	322	表示	biǎo shì	to express, to show, to say, to state, to indicate, to mean,
3	323	表演	biǎo yǎn	play, show, performance, exhibition, to perform, to act, to demonstrate, CL:場|场[chǎng],
3	324	别人	bié ren	other people, others, other person,
3	325	宾馆	bīn guǎn	guesthouse, lodge, hotel, CL:個|个,家[jiā],
3	326	冰箱	bīng xiāng	icebox, freezer cabinet, refrigerator, CL:臺|台,個|个[gè],
3	327	才	cái	a moment ago, just now, (preceded by a clause of condition or reason) not until, (followed by a numerical clause) only,
3	328	菜单	cài dān	menu, CL:份,張|张[zhāng],
3	329	参加	cān jiā	to participate, to take part, to join,
3	330	草	cǎo	grass, straw, manuscript, draft (of a document), careless, rough, CL:棵,撮,株,根[gēn],
3	331	层	céng	layer, stratum, laminated, floor (of a building), storey, classifier for layers, repeated, sheaf (math.),
3	332	差	chà	to differ from, to fall short of, lacking, wrong, inferior,
3	333	超市	chāo shì	supermarket (abbr.), CL:家[jiā],
3	334	衬衫	chèn shān	shirt, blouse, CL:件[jiàn],
3	335	成绩	chéng jì	achievement, performance records, grades, CL:項|项,個|个[gè],
3	336	城市	chéng shì	city, town, CL:座[zuò],
3	337	迟到	chí dào	to arrive late,
3	338	出现	chū xiàn	to appear, to arise, to emerge, to show up,
3	339	除了	chú le	besides, apart from (... also...), in addition to, except (for),
3	340	厨房	chú fáng	kitchen, CL:間|间[jiān],
3	341	春	chūn	spring (time), gay, joyful, youthful, love, lust, life,
3	342	词语	cí yǔ	word (general term including monosyllables through to short phrases), term (e.g. technical term), expression,
3	343	聪明	cōng ming	acute (of sight and hearing), clever, intelligent, bright, smart,
3	344	打扫	dǎ sǎo	to clean, to sweep,
3	345	打算	dǎ suàn	to plan, to intend, to calculate, plan, intention, calculation, CL:個|个[gè],
3	346	带	dài	band, belt, girdle, ribbon, tire, area, zone, region, CL:條|条[tiáo], to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise,
3	347	担心	dān xīn	anxious, worried, uneasy, to worry, to be anxious,
3	348	蛋糕	dàn gāo	cake, CL:塊|块,個|个[gè],
3	349	当然	dāng rán	only natural, as it should be, certainly, of course, without doubt,
3	350	地	de	-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct,
3	351	灯	dēng	lamp, light, lantern, CL:盞|盏[zhǎn],
3	352	低	dī	low, beneath, to lower (one's head), to let droop, to hang down, to incline,
3	353	地方	dì fang	area, place, space, room, territory, CL:處|处,個|个,塊|块[kuài],
3	354	地铁	dì tiě	subway, metro,
3	355	地图	dì tú	map, CL:張|张,本[běn],
